user_id,start_time,end_time,active
1,22:00:00,06:00:00,1
2,22:00:00,06:00:00,1
3,22:00:00,06:00:00,1
4,22:00:00,06:00:00,1
5,22:00:00,06:00:00,1
6,22:00:00,06:00:00,1
7,22:00:00,06:00:00,1
8,22:00:00,06:00:00,1
9,22:00:00,06:00:00,1
10,22:00:00,06:00:00,1
11,22:00:00,06:00:00,1
12,22:00:00,06:00:00,1
13,22:00:00,06:00:00,1
14,22:00:00,06:00:00,1
15,22:00:00,06:00:00,1
16,22:00:00,06:00:00,1
17,22:00:00,06:00:00,1
18,22:00:00,06:00:00,1
19,22:00:00,06:00:00,1
20,22:00:00,06:00:00,1
21,22:00:00,06:00:00,1
22,22:00:00,06:00:00,1
23,22:00:00,06:00:00,1
24,22:00:00,06:00:00,1
25,22:00:00,06:00:00,1
26,22:00:00,06:00:00,1
27,22:00:00,06:00:00,1
28,22:00:00,06:00:00,1
29,22:00:00,06:00:00,1
30,22:00:00,06:00:00,1
31,22:00:00,06:00:00,1
32,22:00:00,06:00:00,1
33,22:00:00,06:00:00,1
34,22:00:00,06:00:00,1
35,22:00:00,06:00:00,1
36,22:00:00,06:00:00,1
37,22:00:00,06:00:00,1
38,22:00:00,06:00:00,1
39,22:00:00,06:00:00,1
40,22:00:00,06:00:00,1
41,22:00:00,06:00:00,1
42,22:00:00,06:00:00,1
43,22:00:00,06:00:00,1
44,22:00:00,06:00:00,1
45,22:00:00,06:00:00,1
46,22:00:00,06:00:00,1
47,22:00:00,06:00:00,1
48,22:00:00,06:00:00,1
49,22:00:00,06:00:00,1
50,22:00:00,06:00:00,1
51,22:00:00,06:00:00,1
52,22:00:00,06:00:00,1
53,22:00:00,06:00:00,1
54,22:00:00,06:00:00,1
55,22:00:00,06:00:00,1
56,22:00:00,06:00:00,1
57,22:00:00,06:00:00,1
58,22:00:00,06:00:00,1
59,22:00:00,06:00:00,1
60,22:00:00,06:00:00,1
61,22:00:00,06:00:00,1
62,22:00:00,06:00:00,1
63,22:00:00,06:00:00,1
64,22:00:00,06:00:00,1
65,22:00:00,06:00:00,1
66,22:00:00,06:00:00,1
67,22:00:00,06:00:00,1
68,22:00:00,06:00:00,1
69,22:00:00,06:00:00,1
70,22:00:00,06:00:00,1
71,22:00:00,06:00:00,1
72,22:00:00,06:00:00,1
73,22:00:00,06:00:00,1
74,22:00:00,06:00:00,1
75,22:00:00,06:00:00,1
76,22:00:00,06:00:00,1
77,22:00:00,06:00:00,1
78,22:00:00,06:00:00,1
79,22:00:00,06:00:00,1
80,22:00:00,06:00:00,1
81,22:00:00,06:00:00,1
82,22:00:00,06:00:00,1
83,22:00:00,06:00:00,1
84,22:00:00,06:00:00,1
85,22:00:00,06:00:00,1
86,22:00:00,06:00:00,1
87,22:00:00,06:00:00,1
88,22:00:00,06:00:00,1
89,22:00:00,06:00:00,1
90,22:00:00,06:00:00,1
91,22:00:00,06:00:00,1
92,22:00:00,06:00:00,1
93,22:00:00,06:00:00,1
94,22:00:00,06:00:00,1
95,22:00:00,06:00:00,1
96,22:00:00,06:00:00,1
97,22:00:00,06:00:00,1
98,22:00:00,06:00:00,1
99,22:00:00,06:00:00,1
100,22:00:00,06:00:00,1
