billing_id,line_id,plan_id,usage,amount,user_at,billing_month,benefit_amount
1,1,2,0,0,2026-01-25 22:24:20,2025-12,0
2,2,3,0,0,2026-01-25 22:24:20,2025-12,0
3,3,3,0,0,2026-01-25 22:24:20,2025-12,0
4,4,1,0,0,2026-01-25 22:24:20,2025-12,0
5,5,1,0,0,2026-01-25 22:24:20,2025-12,0
6,6,1,0,0,2026-01-25 22:24:20,2025-12,0
7,7,2,0,0,2026-01-25 22:24:20,2025-12,0
8,8,2,0,0,2026-01-25 22:24:20,2025-12,0
9,9,2,0,0,2026-01-25 22:24:20,2025-12,0
10,10,3,0,0,2026-01-25 22:24:20,2025-12,0
11,11,2,0,0,2026-01-25 22:24:20,2025-12,0
12,12,3,0,0,2026-01-25 22:24:20,2025-12,0
13,13,1,0,0,2026-01-25 22:24:20,2025-12,0
14,14,3,0,0,2026-01-25 22:24:20,2025-12,0
15,15,3,0,0,2026-01-25 22:24:20,2025-12,0
16,16,1,0,0,2026-01-25 22:24:20,2025-12,0
17,17,3,0,0,2026-01-25 22:24:20,2025-12,0
18,18,2,0,0,2026-01-25 22:24:20,2025-12,0
19,19,1,0,0,2026-01-25 22:24:20,2025-12,0
20,20,1,0,0,2026-01-25 22:24:20,2025-12,0
21,21,2,0,0,2026-01-25 22:24:20,2025-12,0
22,22,3,0,0,2026-01-25 22:24:20,2025-12,0
23,23,1,0,0,2026-01-25 22:24:20,2025-12,0
24,24,3,0,0,2026-01-25 22:24:20,2025-12,0
25,25,3,0,0,2026-01-25 22:24:20,2025-12,0
26,26,3,0,0,2026-01-25 22:24:20,2025-12,0
27,27,2,0,0,2026-01-25 22:24:20,2025-12,0
28,28,2,0,0,2026-01-25 22:24:20,2025-12,0
29,29,1,0,0,2026-01-25 22:24:20,2025-12,0
30,30,2,0,0,2026-01-25 22:24:20,2025-12,0
31,31,2,0,0,2026-01-25 22:24:20,2025-12,0
32,32,2,0,0,2026-01-25 22:24:20,2025-12,0
33,33,2,0,0,2026-01-25 22:24:20,2025-12,0
34,34,1,0,0,2026-01-25 22:24:20,2025-12,0
35,35,2,0,0,2026-01-25 22:24:20,2025-12,0
36,36,2,0,0,2026-01-25 22:24:20,2025-12,0
37,37,1,0,0,2026-01-25 22:24:20,2025-12,0
38,38,3,0,0,2026-01-25 22:24:20,2025-12,0
39,39,3,0,0,2026-01-25 22:24:20,2025-12,0
40,40,3,0,0,2026-01-25 22:24:20,2025-12,0
41,41,1,0,0,2026-01-25 22:24:20,2025-12,0
42,42,3,0,0,2026-01-25 22:24:20,2025-12,0
43,43,2,0,0,2026-01-25 22:24:20,2025-12,0
44,44,2,0,0,2026-01-25 22:24:20,2025-12,0
45,45,3,0,0,2026-01-25 22:24:20,2025-12,0
46,46,3,0,0,2026-01-25 22:24:20,2025-12,0
47,47,2,0,0,2026-01-25 22:24:20,2025-12,0
48,48,2,0,0,2026-01-25 22:24:20,2025-12,0
49,49,3,0,0,2026-01-25 22:24:20,2025-12,0
50,50,2,0,0,2026-01-25 22:24:20,2025-12,0
51,51,1,0,0,2026-01-25 22:24:20,2025-12,0
52,52,2,0,0,2026-01-25 22:24:20,2025-12,0
53,53,1,0,0,2026-01-25 22:24:20,2025-12,0
54,54,1,0,0,2026-01-25 22:24:20,2025-12,0
55,55,3,0,0,2026-01-25 22:24:20,2025-12,0
56,56,1,0,0,2026-01-25 22:24:20,2025-12,0
57,57,2,0,0,2026-01-25 22:24:20,2025-12,0
58,58,3,0,0,2026-01-25 22:24:20,2025-12,0
59,59,1,0,0,2026-01-25 22:24:20,2025-12,0
60,60,3,0,0,2026-01-25 22:24:20,2025-12,0
61,61,1,0,0,2026-01-25 22:24:20,2025-12,0
62,62,2,0,0,2026-01-25 22:24:20,2025-12,0
63,63,2,0,0,2026-01-25 22:24:20,2025-12,0
64,64,1,0,0,2026-01-25 22:24:20,2025-12,0
65,65,3,0,0,2026-01-25 22:24:20,2025-12,0
66,66,1,0,0,2026-01-25 22:24:20,2025-12,0
67,67,3,0,0,2026-01-25 22:24:20,2025-12,0
68,68,2,0,0,2026-01-25 22:24:20,2025-12,0
69,69,1,0,0,2026-01-25 22:24:20,2025-12,0
70,70,2,0,0,2026-01-25 22:24:20,2025-12,0
71,71,1,0,0,2026-01-25 22:24:20,2025-12,0
72,72,1,0,0,2026-01-25 22:24:20,2025-12,0
73,73,1,0,0,2026-01-25 22:24:20,2025-12,0
74,74,3,0,0,2026-01-25 22:24:20,2025-12,0
75,75,3,0,0,2026-01-25 22:24:20,2025-12,0
76,76,1,0,0,2026-01-25 22:24:20,2025-12,0
77,77,3,0,0,2026-01-25 22:24:20,2025-12,0
78,78,1,0,0,2026-01-25 22:24:20,2025-12,0
79,79,1,0,0,2026-01-25 22:24:20,2025-12,0
80,80,2,0,0,2026-01-25 22:24:20,2025-12,0
81,81,1,0,0,2026-01-25 22:24:20,2025-12,0
82,82,2,0,0,2026-01-25 22:24:20,2025-12,0
83,83,1,0,0,2026-01-25 22:24:20,2025-12,0
84,84,3,0,0,2026-01-25 22:24:20,2025-12,0
85,85,3,0,0,2026-01-25 22:24:20,2025-12,0
86,86,3,0,0,2026-01-25 22:24:20,2025-12,0
87,87,2,0,0,2026-01-25 22:24:20,2025-12,0
88,88,3,0,0,2026-01-25 22:24:20,2025-12,0
89,89,2,0,0,2026-01-25 22:24:20,2025-12,0
90,90,2,0,0,2026-01-25 22:24:20,2025-12,0
91,91,3,0,0,2026-01-25 22:24:20,2025-12,0
92,92,2,0,0,2026-01-25 22:24:20,2025-12,0
93,93,2,0,0,2026-01-25 22:24:20,2025-12,0
94,94,3,0,0,2026-01-25 22:24:20,2025-12,0
95,95,2,0,0,2026-01-25 22:24:20,2025-12,0
96,96,3,0,0,2026-01-25 22:24:20,2025-12,0
97,97,2,0,0,2026-01-25 22:24:20,2025-12,0
98,98,1,0,0,2026-01-25 22:24:20,2025-12,0
99,99,2,0,0,2026-01-25 22:24:20,2025-12,0
100,100,1,0,0,2026-01-25 22:24:20,2025-12,0
101,101,3,0,0,2026-01-25 22:24:20,2025-12,0
102,102,2,0,0,2026-01-25 22:24:20,2025-12,0
103,103,2,0,0,2026-01-25 22:24:20,2025-12,0
104,104,1,0,0,2026-01-25 22:24:20,2025-12,0
105,105,3,0,0,2026-01-25 22:24:20,2025-12,0
106,106,2,0,0,2026-01-25 22:24:20,2025-12,0
107,107,2,0,0,2026-01-25 22:24:20,2025-12,0
108,108,2,0,0,2026-01-25 22:24:20,2025-12,0
109,109,1,0,0,2026-01-25 22:24:20,2025-12,0
110,110,1,0,0,2026-01-25 22:24:20,2025-12,0
111,111,3,0,0,2026-01-25 22:24:20,2025-12,0
112,112,1,0,0,2026-01-25 22:24:20,2025-12,0
113,113,1,0,0,2026-01-25 22:24:20,2025-12,0
114,114,3,0,0,2026-01-25 22:24:20,2025-12,0
115,115,1,0,0,2026-01-25 22:24:20,2025-12,0
116,116,1,0,0,2026-01-25 22:24:20,2025-12,0
117,117,3,0,0,2026-01-25 22:24:20,2025-12,0
118,118,2,0,0,2026-01-25 22:24:20,2025-12,0
119,119,1,0,0,2026-01-25 22:24:20,2025-12,0
120,120,3,0,0,2026-01-25 22:24:20,2025-12,0
121,121,2,0,0,2026-01-25 22:24:20,2025-12,0
122,122,3,0,0,2026-01-25 22:24:20,2025-12,0
123,123,3,0,0,2026-01-25 22:24:20,2025-12,0
